index,brand_name,model,prices,rating,sim,has_5g,has_nfc,has_ir_blaster,processor,processor_model,cpu_core_type,cpu_clock_speed_ghz,ram,ram_capacity,internal_memory,battery,battrey_capacity,fast_charging_watt,fast_charging_supported,display,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,camera,rear_camera,rear_camera_count,rear_cam_1,rear_cam_2,rear_cam_3,rear_cam_4,rear_cam_5,rear_camera_special_feature,front_camera,front_camers_count,front_camera_primary,front_camera_dual,memory_card_supported,memory_card_slot_type,memory_card_max_gb,card,os,operating_system,num_core,processor_brand,processor_manufacturer
2,motorola,Motorola Edge 70 Fusion,27589,70.0,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi",True,True,False,"Snapdragon 7s Gen4, Octa Core, 2.7 GHz Processor",Snapdragon 7s Gen4,Octa Core,2.7,"8 GB RAM, 128 GB inbuilt",8.0,128.0,7000 mAh Battery with 68W Fast Charging,7000,68.0,True,"6.8 inches, 1272 x 2772 px, 144 Hz Display with Punch Hole",6.8,1272,2772,144.0,Punch Hole,50 MP + 13 MP + Dedicated 3-in-1 light sensor Triple Rear & 32 MP Front Camera,50 MP + 13 MP + Dedicated 3-in-1 light sensor Triple Rear ,3.0,50,13,,,,Dedicated 3-in-1 light sensor, 32 MP Front Camera,1,32,,,,,,Android v16,Android,8.0,Snapdragon,Qualcomm
3,xiaomi,Xiaomi Redmi Note 17 Pro Max,49999,,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 6 Gen5, Octa Core, 2.6 GHz Processor",Snapdragon 6 Gen5,Octa Core,2.6,"8 GB RAM, 256 GB inbuilt",8.0,256.0,10000 mAh Battery with 100W Fast Charging,10000,100.0,True,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",6.83,1280,2772,120.0,Punch Hole,50 MP + 8 MP Dual Rear & 32 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 32 MP Front Camera,1,32,,,,,,Android v16,Android,8.0,Snapdragon,Qualcomm
4,realme,Realme P3 5G,15999,61.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",True,True,False,"Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor",Snapdragon 6 Gen4,Octa Core,2.3,"6 GB RAM, 128 GB inbuilt",6.0,128.0,6000 mAh Battery with 45W Fast Charging,6000,45.0,True,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",6.67,1080,2400,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
5,apple,Apple iPhone 18 Pro,164900,,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi",True,True,False,"Apple A20 Pro, Hexa Core Processor",Apple A20 Pro,Hexa Core,,"12 GB RAM, 256 GB inbuilt",12.0,256.0,4056 mAh Battery with Fast Charging,4056,,True,"6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island",6.3,1206,2622,120.0,Dynamic Island,48 MP + 48 MP + 48 MP Triple Rear & 18 MP Front Camera,48 MP + 48 MP + 48 MP Triple Rear ,3.0,48,48,48,,,, 18 MP Front Camera,1,18,,No,Not Supported,,Memory Card Not Supported,iOS v27,iOS,6.0,Apple,Apple
6,realme,Realme P3 Pro 5G (12GB RAM +256GB),23999,66.0,"Dual Sim, 5G, VoLTE, Wi-Fi",True,False,False,"Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Snapdragon 7s Gen3,Octa Core,2.5,"12 GB RAM, 256 GB inbuilt",12.0,256.0,6000 mAh Battery with 80W Fast Charging,6000,80.0,True,"6.83 inches, 1272 x 2800 px, 120 Hz Display with Punch Hole",6.83,1272,2800,120.0,Punch Hole,50 MP + 2 MP Dual Rear & 16 MP Front Camera,50 MP + 2 MP Dual Rear ,2.0,50,2,,,,, 16 MP Front Camera,1,16,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
7,xiaomi,Xiaomi Redmi Note 17 Pro,36999,71.0,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 6s Gen4, Octa Core, 2.4 GHz Processor",Snapdragon 6s Gen4,Octa Core,2.4,"6 GB RAM, 128 GB inbuilt",6.0,128.0,9000 mAh Battery with 67W Fast Charging,9000,67.0,True,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",6.83,1280,2772,120.0,Punch Hole,50 MP + 8 MP Dual Rear & 16 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 16 MP Front Camera,1,16,,,,,,Android v16,Android,8.0,Snapdragon,Qualcomm
8,apple,Apple iPhone 17,82900,76.0,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi",True,True,False,"Apple A19, Hexa Core Processor",Apple A19,Hexa Core,,"8 GB RAM, 256 GB inbuilt",8.0,256.0,3692 mAh Battery with Fast Charging,3692,,True,"6.3 inches, 1206 x 2622 px, 120 Hz Display with Small Notch",6.3,1206,2622,120.0,Small Notch,48 MP + 48 MP Dual Rear & 18 MP Front Camera,48 MP + 48 MP Dual Rear ,2.0,48,48,,,,, 18 MP Front Camera,1,18,,No,Not Supported,,Memory Card Not Supported,iOS v26,iOS,6.0,Apple,Apple
9,xiaomi,Xiaomi Redmi 17 5G,23999,61.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 4 Gen5, Octa Core, 2.4 GHz Processor",Snapdragon 4 Gen5,Octa Core,2.4,"6 GB RAM, 128 GB inbuilt",6.0,128.0,7900 mAh Battery with 45W Fast Charging,7900,45.0,True,"6.9 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",6.9,720,1600,120.0,Punch Hole,50 MP + Auxiliary lens Dual Rear & 8 MP Front Camera,50 MP + Auxiliary lens Dual Rear ,2.0,50,,,,,Auxiliary lens, 8 MP Front Camera,1,8,,Yes,Hybrid,2048.0,"Memory Card (Hybrid), upto 2 TB",Android v16,Android,8.0,Snapdragon,Qualcomm
10,oneplus,OnePlus Nord 5 5G,31999,75.0,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",True,True,True,"Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Snapdragon 8s Gen3,Octa Core,3.0,"8 GB RAM, 256 GB inbuilt",8.0,256.0,6800 mAh Battery with 80W Fast Charging,6800,80.0,True,"6.83 inches, 1272 x 2800 px, 144 Hz Display with Punch Hole",6.83,1272,2800,144.0,Punch Hole,50 MP + 8 MP Dual Rear & 50 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 50 MP Front Camera,1,50,,,,,,Android v15,Android,8.0,Snapdragon,Qualcomm
11,vivo,Vivo T5 5G,34999,71.0,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster",True,False,True,"Dimensity 7500 Turbo, Octa Core, 2.6 GHz Processor",Dimensity 7500 Turbo,Octa Core,2.6,"6 GB RAM, 128 GB inbuilt",6.0,128.0,7050 mAh Battery with 44W Fast Charging,7050,44.0,True,"6.83 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",6.83,1260,2800,144.0,Punch Hole,50 MP + 8 MP Dual Rear & 32 MP Front Camera,50 MP + 8 MP Dual Rear ,2.0,50,8,,,,, 32 MP Front Camera,1,32,,No,Not Supported,,Memory Card Not Supported,Android v16,Android,8.0,Dimensity,MediaTek
